АНГЛІЙСЬКІ СЛОВА З ПЕРЕКЛАДОМ УКРАЇНСЬКОЮ
=============================================

   1. apple                          — яблуко
 270. deliver                        — доставляти
 271. demand                         — попит
 272. design                         — дизайн
 273. develop                        — розвивати
 274. die                            — вмирати
 275. differ                         — відрізнятися
 276. direct                         — прямий
 277. discover                       — відкривати
 278. discuss                        — обговорювати
 279. distance                       — відстань
 280. divide                         — ділити
 281. doubt                          — сумнів
 282. dream                          — мрія
 283. drive                          — їхати
 284. drop                           — падати
 285. duty                           — обов'язок
 286. early                          — ранній
 287. earn                           — заробляти
 288. easy                           — легкий
 289. edge                           — край
 290. effect                         — ефект
 291. effort                         — зусилля
 292. either                         — або
 293. empty                          — порожній
 294. end                            — кінець
 295. enemy                          — ворог
 296. energy                         — енергія
 297. enjoy                          — насолоджуватися
 298. enough                         — достатньо
 299. enter                          — входити
 300. equal                          — рівний
 301. escape                         — тікати
 302. even                           — навіть
 303. event                          — подія
 304. every                          — кожний
 305. exact                          — точний
 306. exist                          — існувати
 307. expect                         — очікувати
 308. explain                        — пояснювати
 309. explore                        — досліджувати
 310. express                        — виражати
 311. extra                          — додатковий
 312. fail                           — зазнавати невдачі
 313. fair                           — справедливий
 314. fall                           — падати
 315. false                          — хибний
 316. famous                         — знаменитий
 317. far                            — далекий
 318. fast                           — швидкий
 319. favor                          — послуга
 320. fear                           — страх
 321. feel                           — відчувати
 322. fight                          — боротися
 323. fill                           — наповнювати
 324. final                          — фінальний
 325. find                           — знаходити
 326. fine                           — штраф
 327. finger                         — палець
 328. fire                           — вогонь
 329. first                          — перший
 330. fix                            — лагодити
 331. flat                           — плаский
 332. floor                          — підлога
 333. flow                           — текти
 334. focus                          — фокус
 335. follow                         — слідувати
 336. force                          — сила
 337. forget                         — забувати
 338. form                           — форма
 339. forward                        — вперед
 340. free                           — вільний
 341. fresh                          — свіжий
 342. friend                         — друг
 343. front                          — фронт
 344. full                           — повний
 345. future                         — майбутнє
 346. gather                         — збиратися
 347. general                        — загальний
 348. give                           — давати
 349. global                         — глобальний
 350. goal                           — ціль
 351. good                           — гарний
 352. government                     — уряд
 353. great                          — великий
 354. green                          — зелений
 355. group                          — група
 356. grow                           — рости
 357. guess                          — вгадувати
 358. guide                          — гід
 359. happy                          — щасливий
 360. hard                           — твердий
 361. harm                           — шкода
 362. hate                           — ненавидіти
 363. have                           — мати
 364. head                           — голова
 365. health                         — здоров'я
 366. heart                          — серце
 367. heavy                          — важкий
 368. help                           — допомагати
 369. high                           — високий
 370. history                        — історія
 371. hold                           — тримати
 372. home                           — дім
 373. hope                           — надія
 374. hot                            — гарячий
 375. hour                           — година
 376. huge                           — величезний
 377. human                          — людина
 378. humor                          — гумор
 379. hunger                         — голод
 380. hunt                           — полювати
 381. hurry                          — поспішати
 382. hurt                           — завдавати болю
 383. imagine                        — уявляти
 384. impact                         — вплив
 385. improve                        — покращувати
 386. include                        — включати
 387. increase                       — збільшувати
 388. information                    — інформація
 389. inside                         — всередині
 390. instead                        — замість
 391. interest                       — інтерес
 392. interview                      — інтерв'ю
 393. introduce                      — представляти
 394. invest                         — інвестувати
 395. invite                         — запрошувати
 396. island                         — острів
 397. issue                          — питання
 398. journey                        — подорож
 399. judge                          — судити
 400. keep                           — тримати
 401. knowledge                      — знання
 402. land                           — земля
 403. language                       — мова
 404. large                          — великий
 405. last                           — останній
 406. later                          — пізніше
 407. laugh                          — сміятися
 408. law                            — закон
 409. lead                           — вести
 410. learn                          — вчитися
 411. leave                          — покидати
 412. level                          — рівень
 413. light                          — світло
 414. likely                         — імовірно
 415. limit                          — ліміт
 416. listen                         — слухати
 417. live                           — жити
 418. local                          — місцевий
 419. long                           — довгий
 420. look                           — дивитися
 421. lose                           — втрачати
 422. love                           — любов
 423. lower                          — нижній
 424. lucky                          — удачливий
 425. main                           — головний
 426. major                          — головний
 427. manage                         — керувати
 428. market                         — ринок
 429. matter                         — мати значення
 430. mean                           — означати
 431. meet                           — зустрічати
 432. member                         — член
 433. memory                         — пам'ять
 434. mention                        — згадувати
 435. message                        — повідомлення
 436. method                         — метод
 437. middle                         — середина
 438. might                          — міць
 439. mind                           — розум
 440. minute                         — хвилина
 441. miss                           — сумувати
 442. model                          — модель
 443. money                          — гроші
 444. month                          — місяць
 445. morning                        — ранок
 446. most                           — більшість
 447. mother                         — мати
 448. move                           — рухатися
 449. much                           — багато
 450. music                          — музика
 451. natural                        — природний
 452. need                           — потребувати
 453. never                          — ніколи
 454. new                            — новий
 455. next                           — наступний
 456. nice                           — приємний
 457. normal                         — нормальний
 458. nothing                        — нічого
 459. notice                         — помічати
 460. number                         — число
 461. object                         — об'єкт
 462. offer                          — пропозиція
 463. often                          — часто
 464. once                           — одного разу
 465. only                           — тільки
 466. option                         — варіант
 467. order                          — порядок
 468. other                          — інший
 469. outside                        — зовні
 470. over                           — над
 471. own                            — володіти
 472. pain                           — біль
 473. part                           — частина
 474. pass                           — проходити
 475. past                           — минуле
 476. path                           — шлях
 477. pattern                        — візерунок
 478. peace                          — мир
 479. people                         — люди
 480. perfect                        — ідеальний
 481. perform                        — виступати
 482. person                         — людина
 483. picture                        — картина
 484. place                          — місце
 485. plan                           — план
 486. play                           — грати
 487. point                          — точка
 488. policy                         — політика
 489. poor                           — бідний
 490. popular                        — популярний
 491. power                          — влада
 492. present                        — теперішній
 493. press                          — натискати
 494. prevent                        — запобігати
 495. price                          — ціна
 496. process                        — процес
 497. produce                        — виробляти
 498. profit                         — прибуток
 499. program                        — програма
 500. project                        — проєкт
 501. promise                        — обіцянка
 502. protect                        — захищати
 503. prove                          — доводити
 504. provide                        — надавати
 505. public                         — громадський
 506. pull                           — тягнути
 507. push                           — штовхати
 508. put                            — класти
 509. raise                          — піднімати
 510. reach                          — досягати
 511. read                           — читати
 512. ready                          — готовий
 513. real                           — справжній
 514. reason                         — причина
 515. receive                        — отримувати
 516. record                         — запис
 517. reduce                         — зменшувати
 518. refuse                         — відмовляти
 519. relate                         — пов'язувати
 520. remain                         — залишатися
 521. remember                       — пам'ятати
 522. remove                         — видаляти
 523. repeat                         — повторювати
 524. replace                        — замінювати
 525. report                         — доповідь
 526. require                        — вимагати
 527. research                       — дослідження
 528. respect                        — повага
 529. result                         — результат
 530. return                         — повертати
 531. reveal                         — розкривати
 532. rich                           — багатий
 533. right                          — правий
 534. rise                           — підніматися
 535. risk                           — ризик
 536. rule                           — правило
 537. run                            — бігти
 538. safe                           — безпечний
 539. same                           — однаковий
 540. save                           — рятувати
 541. say                            — говорити
 542. scene                          — сцена
 543. school                         — школа
 544. search                         — шукати
 545. season                         — пора року
 546. secret                         — секрет
 547. seem                           — здаватися
 548. sell                           — продавати
 549. send                           — надсилати
 550. sense                          — відчуття
 551. service                        — послуга
 552. set                            — встановлювати
 553. share                          — ділитися
 554. show                           — показувати
 555. sign                           — знак
 556. simple                         — простий
 557. since                          — з тих пір
 558. situation                      — ситуація
 559. size                           — розмір
 560. skill                          — навичка
 561. sleep                          — спати
 562. slow                           — повільний
 563. small                          — маленький
 564. smart                          — розумний
 565. smile                          — посміхатися
 566. solve                          — вирішувати
 567. soon                           — скоро
 568. sorry                          — шкодувати
 569. sound                          — звук
 570. speak                          — говорити
 571. special                        — особливий
 572. spend                          — витрачати
 573. spread                         — поширювати
 574. stand                          — стояти
 575. start                          — починати
 576. stay                           — залишатися
 577. step                           — крок
 578. still                          — ще
 579. stop                           — зупиняти
 580. store                          — магазин
 581. story                          — історія
 582. strong                         — сильний
 583. student                        — студент
 584. study                          — навчатися
 585. subject                        — предмет
 586. success                        — успіх
 587. such                           — такий
 588. suggest                        — пропонувати
 589. support                        — підтримка
 590. sure                           — впевнений
 591. switch                         — перемикати
 592. system                         — система
 593. table                          — стіл
 594. take                           — брати
 595. talk                           — розмовляти
 596. task                           — завдання
 597. teach                          — навчати
 598. team                           — команда
 599. tell                           — розповідати
 600. term                           — строк
 601. test                           — тест
 602. thank                          — дякувати
 603. think                          — думати
 604. though                         — хоча
 605. through                        — крізь
 606. throw                          — кидати
 607. today                          — сьогодні
 608. together                       — разом
 609. tomorrow                       — завтра
 610. touch                          — торкатися
 611. toward                         — до
 612. town                           — місто
 613. train                          — тренувати
 614. travel                         — подорожувати
 615. trust                          — довіряти
 616. truth                          — правда
 617. try                            — намагатися
 618. turn                           — повертати
 619. type                           — тип
 620. understand                     — розуміти
 621. until                          — поки
 622. update                         — оновлювати
 623. upon                           — на
 624. value                          — цінність
 625. various                        — різний
 626. visit                          — відвідувати
 627. wait                           — чекати
 628. want                           — хотіти
 629. warm                           — теплий
 630. watch                          — спостерігати
 631. week                           — тиждень
 632. welcome                        — вітати
 633. well                           — добре
 634. white                          — білий
 635. wide                           — широкий
 636. win                            — перемагати
 637. wish                           — бажати
 638. within                         — всередині
 639. woman                          — жінка
 640. wonder                         — дивуватися
 641. word                           — слово
 642. work                           — працювати
 643. world                          — світ
 644. worry                          — турбуватися
 645. worth                          — коштувати
 646. write                          — писати
 647. wrong                          — неправильний
 648. young                          — молодий
 649. abolish                        — скасовувати
 650. absorb                         — поглинати
 651. abstract                       — абстрактний
 652. abuse                          — зловживати
 653. access                         — доступ
 654. adapt                          — адаптуватися
 655. adjust                         — налаштовувати
 656. admire                         — захоплюватися
 657. admit                          — визнавати
 658. adopt                          — приймати
 659. advertise                      — рекламувати
 660. aggressive                     — агресивний
 661. aid                            — допомога
 662. allocate                       — розподіляти
 663. analyze                        — аналізувати
 664. announce                       — оголошувати
 665. anxiety                        — тривога
 666. appreciate                     — цінувати
 667. approach                       — підхід
 668. approve                        — схвалювати
 669. arrange                        — організовувати
 670. arrest                         — арешт
 671. assign                         — призначати
 672. assist                         — допомагати
 673. assume                         — припускати
 674. attempt                        — спроба
 675. attend                         — відвідувати
 676. attitude                       — ставлення
 677. auction                        — аукціон
 678. audience                       — аудиторія
 679. available                      — доступний
 680. average                        — середнє
 681. barrier                        — бар'єр
 682. behaviour                      — поведінка
 683. believe                        — вірити
 684. bond                           — зв'язок
 685. bonus                          — бонус
 686. boost                          — підвищувати
 687. budget                         — бюджет
 688. burden                         — тягар
 689. calculate                      — обчислювати
 690. capacity                       — місткість
 691. career                         — кар'єра
 692. challenge                      — виклик
 693. charity                        — благодійність
 694. choice                         — вибір
 695. citizen                        — громадянин
 696. collapse                       — руйнуватися
 697. colleague                      — колега
 698. combine                        — комбінувати
 699. commit                         — вчиняти
 700. compete                        — конкурувати
 701. complain                       — скаржитися
 702. compose                        — складати
 703. concept                        — концепція
 704. conflict                       — конфлікт
 705. consume                        — споживати
 706. contract                       — контракт
 707. contribute                     — вносити внесок
 708. convince                       — переконувати
 709. cooperate                      — співпрацювати
 710. courage                        — сміливість
 711. creative                       — творчий
 712. critical                       — критичний
 713. curiosity                      — цікавість
 714. deadline                       — дедлайн
 715. debate                         — дебати
 716. decrease                       — зменшувати
 717. define                         — визначати
 718. demonstrate                    — демонструвати
 719. depend                         — залежати
 720. describe                       — описувати
 721. detail                         — деталь
 722. determine                      — визначати
 723. digital                        — цифровий
 724. disability                     — інвалідність
 725. disappear                      — зникати
 726. discipline                     — дисципліна
 727. discrimination                 — дискримінація
 728. diversity                      — різноманіття
 729. domestic                       — домашній
 730. download                       — завантажувати
 731. dynamic                        — динамічний
 732. economy                        — економіка
 733. education                      — освіта
 734. effective                      — ефективний
 735. efficient                      — результативний
 736. eliminate                      — усувати
 737. emotion                        — емоція
 738. emphasize                      — підкреслювати
 739. encourage                      — заохочувати
 740. environment                    — довкілля
 741. equality                       — рівність
 742. evaluate                       — оцінювати
 743. evidence                       — доказ
 744. evolve                         — еволюціонувати
 745. exception                      — виняток
 746. exchange                       — обмін
 747. execute                        — виконувати
 748. expand                         — розширювати
 749. experience                     — досвід
 750. experiment                     — експеримент
 751. extreme                        — крайній
 752. factor                         — фактор
 753. feature                        — особливість
 754. feedback                       — зворотній зв'язок
 755. flexible                       — гнучкий
 756. foundation                     — основа
 757. freedom                        — свобода
 758. frequency                      — частота
 759. frustration                    — розчарування
 760. function                       — функція
 761. fundamental                    — фундаментальний
 762. generate                       — генерувати
 763. genuine                        — справжній
 764. gesture                        — жест
 765. grateful                       — вдячний
 766. guarantee                      — гарантувати
 767. habit                          — звичка
 768. highlight                      — виділяти
 769. honest                         — чесний
 770. identity                       — ідентичність
 771. immediate                      — негайний
 772. implement                      — впроваджувати
 773. independent                    — незалежний
 774. individual                     — індивідуальний
 775. influence                      — впливати
 776. initiative                     — ініціатива
 777. innovation                     — інновація
 778. insight                        — розуміння
 779. inspire                        — надихати
 780. interact                       — взаємодіяти
 781. interpret                      — інтерпретувати
 782. investigate                    — розслідувати
 783. justify                        — виправдовувати
 784. launch                         — запускати
 785. leadership                     — лідерство
 786. logical                        — логічний
 787. maintain                       — підтримувати
 788. maximize                       — максимізувати
 789. measure                        — вимірювати
 790. minimize                       — мінімізувати
 791. mission                        — місія
 792. monitor                        — моніторити
 793. motivate                       — мотивувати
 794. negotiate                      — вести переговори
 795. objective                      — ціль
 796. obstacle                       — перешкода
 797. obtain                         — отримувати
 798. outcome                        — результат
 799. overcome                       — долати
 800. participate                    — брати участь
 801. passion                        — пристрасть
 802. perceive                       — сприймати
 803. perspective                    — перспектива
 804. positive                       — позитивний
 805. potential                      — потенціал
 806. practical                      — практичний
 807. precise                        — точний
 808. predict                        — передбачати
 809. priority                       — пріоритет
 810. problem                        — проблема
 811. promote                        — просувати
 812. propose                        — пропонувати
 813. purpose                        — мета
 814. quality                        — якість
 815. recognize                      — визнавати
 816. recommend                      — рекомендувати
 817. reflect                        — відображати
 818. reform                         — реформа
 819. reinforce                      — підкріплювати
 820. relevant                       — актуальний
 821. reliable                       — надійний
 822. represent                      — представляти
 823. resource                       — ресурс
 824. respond                        — відповідати
 825. responsible                    — відповідальний
 826. review                         — переглядати
 827. revolution                     — революція
 828. reward                         — нагорода
 829. significant                    — значний
 830. solution                       — рішення
 831. specific                       — конкретний
 832. strategy                       — стратегія
 833. strengthen                     — зміцнювати
 834. structure                      — структура
 835. sustainable                    — сталий
 836. talent                         — талант
 837. technology                     — технологія
 838. transparent                    — прозорий
 839. trend                          — тренд
 840. unique                         — унікальний
 841. upload                         — завантажувати
 842. version                        — версія
 843. vision                         — бачення
 844. volunteer                      — волонтер
 845. vulnerable                     — вразливий
 846. welfare                        — добробут
 847. willing                        — готовий
 848. wisdom                         — мудрість
 849. accomplish                     — виконувати
 850. acknowledge                    — визнавати
 851. acquisition                    — придбання
 852. adequate                       — достатній
 853. advocate                       — захищати
 854. ambiguous                      — двозначний
 855. ambitious                      — амбітний
 856. atmosphere                     — атмосфера
 857. authentic                      — автентичний
 858. automate                       — автоматизувати
 859. benchmark                      — еталон
 860. collaborate                    — співпрацювати
 861. compassion                     — співчуття
 862. comprehensive                  — всебічний
 863. consistent                     — послідовний
 864. construct                      — будувати
 865. context                        — контекст
 866. continuous                     — безперервний
 867. crucial                        — важливий
 868. customize                      — налаштовувати
 869. dedicate                       — присвячувати
 870. delegate                       — делегувати
 871. deliberate                     — навмисний
 872. diagnose                       — діагностувати
 873. distinguish                    — розрізняти
 874. elaborate                      — розробляти
 875. enhance                        — покращувати
 876. enormous                       — величезний
 877. establish                      — встановлювати
 878. estimate                       — оцінювати
 879. facilitate                     — полегшувати
 880. framework                      — структура
 881. gratitude                      — вдячність
 882. hypothesis                     — гіпотеза
 883. illustrate                     — ілюструвати
 884. immense                        — безмежний
 885. inevitable                     — неминучий
 886. infrastructure                 — інфраструктура
 887. integrate                      — інтегрувати
 888. intellectual                   — інтелектуальний
 889. international                  — міжнародний
 890. interrupt                      — переривати
 891. limitation                     — обмеження
 892. mechanism                      — механізм
 893. methodology                    — методологія
 894. milestone                      — віха
 895. narrative                      — наратив
 896. opportunity                    — можливість
 897. optimize                       — оптимізувати
 898. organization                   — організація
 899. outstanding                    — видатний
 900. phenomenon                     — явище
 901. philosophy                     — філософія
 902. preference                     — перевага
 903. principle                      — принцип
 904. productivity                   — продуктивність
 905. profound                       — глибокий
 906. proportion                     — пропорція
 907. psychology                     — психологія
 908. recognition                    — визнання
 909. requirement                    — вимога
 910. resilience                     — стійкість
 911. responsibility                 — відповідальність
 912. sophisticated                  — складний
 913. stereotype                     — стереотип
 914. stimulate                      — стимулювати
 915. subsequent                     — наступний
 916. substantial                    — суттєвий
 917. transformation                 — трансформація
 918. undermine                      — підривати
 919. universal                      — універсальний
 920. utilize                        — використовувати
 921. variable                       — змінна
 922. verification                   — перевірка
 923. virtually                      — практично
 924. widespread                     — поширений
 925. abandon                        — кидати
 926. accelerate                     — прискорювати
 927. accommodate                    — розміщувати
 928. accumulate                     — накопичувати
 929. aftermath                      — наслідки
 930. alienate                       — відчужувати
 931. allegation                     — звинувачення
 932. alliance                       — альянс
 933. ambassador                     — посол
 934. ambition                       — амбіція
 935. anticipate                     — передбачати
 936. appetite                       — апетит
 937. architect                      — архітектор
 938. assembly                       — збори
 939. assertion                      — твердження
 940. assessment                     — оцінювання
 941. association                    — асоціація
 942. assumption                     — припущення
 943. astronaut                      — космонавт
 944. attachment                     — прив'язаність
 945. authority                      — влада
 946. automation                     — автоматизація
 947. awareness                      — обізнаність
 948. bargain                        — угода
 949. biochemistry                   — біохімія
 950. blockchain                     — блокчейн
 951. blueprint                      — креслення
 952. breakthrough                   — прорив
 953. bureaucracy                    — бюрократія
 954. catastrophe                    — катастрофа
 955. circumstance                   — обставина
 956. civilization                   — цивілізація
 957. classification                 — класифікація
 958. coincidence                    — збіг
 959. communication                  — спілкування
 960. community                      — спільнота
 961. competition                    — змагання
 962. complication                   — ускладнення
 963. concentration                  — концентрація
 964. consequence                    — наслідок
 965. conservation                   — збереження
 966. considerable                   — значний
 967. conspiracy                     — змова
 968. constitution                   — конституція
 969. contradiction                  — суперечність
 970. controversy                    — суперечки
 971. conversation                   — розмова
 972. corporation                    — корпорація
 973. correlation                    — кореляція
 974. counterpart                    — аналог
 975. creativity                     — творчість
 976. cultivation                    — культивування
 977. declaration                    — декларація
 978. democracy                      — демократія
 979. demonstration                  — демонстрація
 980. determination                  — рішучість
 981. development                    — розвиток
 982. disadvantage                   — недолік
 983. disappointment                 — розчарування
 984. distribution                   — розподіл
 985. documentation                  — документація
 986. domination                     — домінування
 987. efficiency                     — ефективність
 988. elaboration                    — розробка
 989. emergency                      — надзвичайна ситуація
 990. empowerment                    — розширення прав
 991. encouragement                  — заохочення
 992. entertainment                  — розваги
 993. enthusiasm                     — ентузіазм
 994. entrepreneurship               — підприємництво
 995. environmental                  — екологічний
 996. establishment                  — установа
 997. examination                    — обстеження
 998. expectation                    — очікування
 999. exploitation                   — експлуатація
1000. exploration                    — дослідження
1001. extraordinary                  — надзвичайний
1002. facilitation                   — фасилітація
1003. fascination                    — захоплення
1004. globalization                  — глобалізація
1005. implementation                 — реалізація
1006. independence                   — незалежність
1007. industrialization              — індустріалізація
1008. interpretation                 — інтерпретація
1009. investigation                  — розслідування
1010. marginalization                — маргіналізація
1011. modernization                  — модернізація
1012. participation                  — участь
1013. polarization                   — поляризація
1014. privatization                  — приватизація
1015. professionalism                — професіоналізм
1016. reconstruction                 — реконструкція
1017. representation                 — представництво
1018. specialization                 — спеціалізація
1019. standardization                — стандартизація
1020. urbanization                   — урбанізація
1021. vulnerability                  — вразливість
